USStateCourtID,CourtID,USStateID,CourtName,CourtLevelID,CSPAggID,FundingID,AppealFromAdminAgency,Notes,Link,DisplayOrder,State,FundingDescription,CourtLevelDescription
115,179,23,Housing Court Dept,LJ        ,LJ        ,S,No,Jury trials except in small claims.,https://www.mass.gov/orgs/housing-court/locations,115,Massachusetts,State funded,Limited Jurisdiction
116,180,23,Juvenile Court Dept,LJ        ,GJ        ,S,No,Jury trials.,https://www.mass.gov/orgs/juvenile-court,116,Massachusetts,State funded,Limited Jurisdiction
117,181,23,Land Court Dept,LJ        ,LJ        ,S,No,No jury trials.,https://www.mass.gov/orgs/land-court,117,Massachusetts,State funded,Limited Jurisdiction
118,182,23,Probate & Family Court Dept,LJ        ,GJ        ,S,No,No jury trials.,https://www.mass.gov/orgs/probate-and-family-court,118,Massachusetts,State funded,Limited Jurisdiction
119,183,23,Superior Court Dept,GJ        ,GJ        ,S,Yes,Jury trials.,https://www.mass.gov/orgs/superior-court,119,Massachusetts,State funded,General Jurisdiction
120,46,24,Supreme Court,COLR      ,COLR      ,S,No,,http://courts.mi.gov/courts/michigansupremecourt/pages/default.aspx,120,Michigan,State funded,Court of Last Resort
121,47,24,Court of Appeals,IAC       ,IAC       ,S,No,,http://courts.mi.gov/courts/coa/pages/default.aspx,121,Michigan,State funded,Intermediate Appellate Court
122,184,24,Circuit,GJ        ,GJ        ,M,Yes,Jury trials except in domestic relations.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,122,Michigan,State and local funding,General Jurisdiction
123,185,24,Court of Claims,GJ        ,GJ        ,M,Yes,No jury trials.,http://courts.mi.gov/courts/coc/Pages/default.aspx,123,Michigan,State and local funding,General Jurisdiction
124,186,24,District,LJ        ,LJ        ,M,No,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,124,Michigan,State and local funding,Limited Jurisdiction
125,187,24,Municipal,LJ        ,LJ        ,L,No,Jury trials in most cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,125,Michigan,Locally funded,Limited Jurisdiction
126,188,24,Probate,LJ        ,LJ        ,M,No,Jury trials in some cases.,http://courts.mi.gov/courts/trialcourts/Pages/default.aspx,126,Michigan,State and local funding,Limited Jurisdiction
127,48,25,Supreme Court,COLR      ,COLR      ,S,Yes,,http://www.mncourts.gov/About-The-Courts/SupremeCourt.aspx,127,Minnesota,State funded,Court of Last Resort
128,49,25,Court of Appeals,IAC       ,IAC       ,S,Yes,,http://www.mncourts.gov/About-The-Courts/CourtOfAppeals.aspx,128,Minnesota,State funded,Intermediate Appellate Court
129,189,25,District,GJ        ,GJ        ,S,No,"Jury trials except in small claims, child protection, and non-extended jurisdiction juvenile cases.",http://www.mncourts.gov/Find-Courts.aspx,129,Minnesota,State funded,General Jurisdiction
130,50,26,Supreme Court,COLR      ,COLR      ,S,No,Assigns cases to the Court of Appeals.,-99,130,Mississippi,State funded,Court of Last Resort
131,51,26,Court of Appeals,IAC       ,IAC       ,S,No,,-99,131,Mississippi,State funded,Intermediate Appellate Court
132,190,26,Chancery,LJ        ,LJ        ,M,No,Jury trials (limited).,-99,132,Mississippi,State and local funding,Limited Jurisdiction
133,191,26,Circuit,GJ        ,GJ        ,M,Yes,Jury trials.,-99,133,Mississippi,State and local funding,General Jurisdiction
134,192,26,County,LJ        ,LJ        ,L,No,Jury trials (limited).,-99,134,Mississippi,Locally funded,Limited Jurisdiction
135,193,26,Justice,LJ        ,LJ        ,L,No,Jury trials.,-99,135,Mississippi,Locally funded,Limited Jurisdiction
136,194,26,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,136,Mississippi,Locally funded,Limited Jurisdiction
137,52,27,Supreme Court,COLR      ,COLR      ,S,No,,https://www.courts.mo.gov/page.jsp?id=27,137,Missouri,State funded,Court of Last Resort
138,53,27,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://www.courts.mo.gov/page.jsp?id=261,138,Missouri,State funded,Intermediate Appellate Court
139,195,27,Circuit,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,https://www.courts.mo.gov/page.jsp?id=321,139,Missouri,State and local funding,General Jurisdiction
140,54,28,Supreme Court,COLR      ,COLR      ,S,No,,-99,140,Montana,State funded,Court of Last Resort
141,197,28,City,LJ        ,LJ        ,L,No,Jury trials.,-99,141,Montana,Locally funded,Limited Jurisdiction
142,198,28,District,GJ        ,GJ        ,M,Yes,Jury trials.,-99,142,Montana,State and local funding,General Jurisdiction
143,199,28,Justice's Court,LJ        ,LJ        ,L,No,Jury trials except in small claims.,-99,143,Montana,Locally funded,Limited Jurisdiction
144,200,28,Municipal,LJ        ,LJ        ,L,No,Jury trials.,-99,144,Montana,Locally funded,Limited Jurisdiction
145,201,28,Water,GJ        ,GJ        ,S,No,No jury trials.,-99,145,Montana,State funded,General Jurisdiction
146,202,28,Worker's Compensation,GJ        ,GJ        ,S,No,No jury trials.,-99,146,Montana,State funded,General Jurisdiction
147,55,29,Supreme Court,COLR      ,COLR      ,S,No,,https://supremecourt.nebraska.gov/courts/supreme-court,147,Nebraska,State funded,Court of Last Resort
148,56,29,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://supremecourt.nebraska.gov/courts/court-appeals,148,Nebraska,State funded,Intermediate Appellate Court
149,203,29,County,LJ        ,LJ        ,M,No,Jury trials except in juvenile and small claims.,https://supremecourt.nebraska.gov/courts/county-courts,149,Nebraska,State and local funding,Limited Jurisdiction
150,204,29,District,GJ        ,GJ        ,M,No,Jury trials except in appeals.,https://supremecourt.nebraska.gov/courts/district-court,150,Nebraska,State and local funding,General Jurisdiction
151,205,29,Separate Juvenile,LJ        ,GJ        ,M,No,No jury trials.,https://supremecourt.nebraska.gov/courts/separate-juvenile-courts,151,Nebraska,State and local funding,Limited Jurisdiction
152,206,29,Worker's Compensation,LJ        ,GJ        ,S,No,No jury trials.,https://supremecourt.nebraska.gov/courts/workers-compensation-court,152,Nebraska,State funded,Limited Jurisdiction
153,57,30,Supreme Court,COLR      ,COLR      ,S,No,Assigns cases to the Court of Appeals.,https://nvcourts.gov/supreme/,153,Nevada,State funded,Court of Last Resort
154,58,30,Court of Appeals,IAC       ,IAC       ,S,No,,-99,154,Nevada,State funded,Intermediate Appellate Court
155,207,30,District,GJ        ,GJ        ,M,Yes,Jury trials in most cases.,https://nvcourts.gov/supreme/,155,Nevada,State and local funding,General Jurisdiction
156,208,30,Justice,LJ        ,LJ        ,L,No,"Jury trials except in small claimsl, traffic, and parking. ",https://nvcourts.gov/Find_a_Court/Justice_Courts/,156,Nevada,Locally funded,Limited Jurisdiction
157,209,30,Municipal,LJ        ,LJ        ,L,Yes,"Jury trials except in parking, traffic, and specific ordinance violations. ",https://nvcourts.gov/Find_a_Court/Municipal_Courts/,157,Nevada,Locally funded,Limited Jurisdiction
158,59,31,Supreme Court,COLR      ,COLR      ,S,Yes,,https://www.courts.state.nh.us/supreme/index.htm,158,New Hampshire,State funded,Court of Last Resort
159,210,31,Circuit,LJ        ,LJ        ,S,No,No jury trials.,https://www.courts.state.nh.us/district/index.htm,159,New Hampshire,State funded,Limited Jurisdiction
160,211,31,Superior,GJ        ,GJ        ,S,Yes,Jury trials.,https://www.courts.state.nh.us/superior/index.htm,160,New Hampshire,State funded,General Jurisdiction
161,60,32,Supreme Court,COLR      ,COLR      ,S,Yes,,-99,161,New Jersey,State funded,Court of Last Resort
162,61,32,Appellate Division of Superior Court,IAC       ,IAC       ,S,Yes,,-99,162,New Jersey,State funded,Intermediate Appellate Court
163,212,32,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,163,New Jersey,Locally funded,Limited Jurisdiction
164,213,32,Superior,GJ        ,GJ        ,M,No,Jury trials in most cases.,-99,164,New Jersey,State and local funding,General Jurisdiction
165,214,32,Tax,LJ        ,GJ        ,S,Yes,No jury trials.,-99,165,New Jersey,State funded,Limited Jurisdiction
166,62,33,Supreme Court,COLR      ,COLR      ,S,Yes,,https://supremecourt.nmcourts.gov/default.aspx,166,New Mexico,State funded,Court of Last Resort
167,63,33,Court of Appeals,IAC       ,IAC       ,S,Yes,,https://coa.nmcourts.gov/default.aspx,167,New Mexico,State funded,Intermediate Appellate Court
168,215,33,Bernalillo County Metropolitan,LJ        ,LJ        ,L,No,Jury trials in some cases.,-99,168,New Mexico,Locally funded,Limited Jurisdiction
169,216,33,District,GJ        ,GJ        ,M,No,Jury trials.,https://www.nmcourts.gov/state-courts.aspx,169,New Mexico,State and local funding,General Jurisdiction
170,217,33,Magistrate,LJ        ,LJ        ,M,No,No jury trials.,https://www.nmcourts.gov/Magistrate-Courts/court-listing.aspx,170,New Mexico,State and local funding,Limited Jurisdiction
171,218,33,Municipal,LJ        ,LJ        ,L,No,No jury trials.,-99,171,New Mexico,Locally funded,Limited Jurisdiction
172,219,33,Probate,LJ        ,GJ        ,L,No,No jury trials.,-99,172,New Mexico,Locally funded,Limited Jurisdiction
173,64,34,Court of Appeals,COLR      ,COLR      ,S,No,,http://www.courts.state.ny.us/ctapps/,173,New York,State funded,Court of Last Resort
174,65,34,Appellate Division of Supreme Court,IAC       ,IAC       ,S,Yes,,http://www.courts.state.ny.us/courts/appellatedivisions.shtml,174,New York,State funded,Intermediate Appellate Court
