AppealProcessID,ChildCourtID,ParentCourtID,State,ChildCourtName,ParentCourtName
134,185,47,Michigan,Court of Claims,Court of Appeals
135,186,184,Michigan,District,Circuit
136,187,184,Michigan,Municipal,Circuit
137,188,184,Michigan,Probate,Circuit
138,49,48,Minnesota,Court of Appeals,Supreme Court
139,189,49,Minnesota,District,Court of Appeals
140,51,50,Mississippi,Court of Appeals,Supreme Court
141,190,50,Mississippi,Chancery,Supreme Court
142,191,50,Mississippi,Circuit,Supreme Court
143,192,191,Mississippi,County,Circuit
144,192,50,Mississippi,County,Supreme Court
145,193,190,Mississippi,Justice,Chancery
146,193,192,Mississippi,Justice,County
147,193,191,Mississippi,Justice,Circuit
148,194,190,Mississippi,Municipal,Chancery
149,194,192,Mississippi,Municipal,County
150,194,191,Mississippi,Municipal,Circuit
151,53,52,Missouri,Court of Appeals Eastern,Supreme Court
152,195,52,Missouri,Circuit,Supreme Court
153,195,53,Missouri,Circuit,Court of Appeals Eastern
154,196,195,,,Circuit
155,197,198,Montana,City,District
156,198,54,Montana,District,Supreme Court
157,199,198,Montana,Justice's Court,District
158,200,198,Montana,Municipal,District
159,201,54,Montana,Water,Supreme Court
160,202,54,Montana,Worker's Compensation,Supreme Court
161,56,55,Nebraska,Court of Appeals,Supreme Court
162,203,204,Nebraska,County,District
163,204,56,Nebraska,District,Court of Appeals
164,205,56,Nebraska,Separate Juvenile,Court of Appeals
165,206,56,Nebraska,Worker's Compensation,Court of Appeals
166,58,57,Nevada,Court of Appeals,Supreme Court
167,207,57,Nevada,District,Supreme Court
168,208,207,Nevada,Justice,District
169,209,207,Nevada,Municipal,District
170,210,211,New Hampshire,Circuit,Superior
171,211,59,New Hampshire,Superior,Supreme Court
172,61,60,New Jersey,Appellate Division of Superior Court,Supreme Court
173,212,213,New Jersey,Municipal,Superior
174,213,60,New Jersey,Superior,Supreme Court
175,213,61,New Jersey,Superior,Appellate Division of Superior Court
176,214,61,New Jersey,Tax,Appellate Division of Superior Court
177,63,62,New Mexico,Court of Appeals,Supreme Court
178,215,216,New Mexico,Bernalillo County Metropolitan,District
179,216,63,New Mexico,District,Court of Appeals
180,217,216,New Mexico,Magistrate,District
181,218,216,New Mexico,Municipal,District
182,219,216,New Mexico,Probate,District
183,65,64,New York,Supreme Ct. Appellate Div. 1st,Court of Appeals
184,66,64,New York,Supreme Ct. Appellate Term 1st,Court of Appeals
185,220,222,New York,City,County
186,220,66,New York,City,Supreme Ct. Appellate Term 1st
187,221,66,New York,Civil Ct. of the City of NY,Supreme Ct. Appellate Term 1st
188,222,65,New York,County,Supreme Ct. Appellate Div. 1st
189,223,65,New York,Court of Claims,Supreme Ct. Appellate Div. 1st
190,224,66,New York,Criminal Ct of the City of NY,Supreme Ct. Appellate Term 1st
191,225,65,New York,District,Supreme Ct. Appellate Div. 1st
192,225,66,New York,District,Supreme Ct. Appellate Term 1st
193,226,65,New York,Family,Supreme Ct. Appellate Div. 1st
194,227,65,New York,Supreme,Supreme Ct. Appellate Div. 1st
195,228,65,New York,Surrogates,Supreme Ct. Appellate Div. 1st
196,229,66,New York,Town & Village Justice,Supreme Ct. Appellate Term 1st
197,68,67,North Carolina,Court of Appeals,Supreme Court
198,230,231,North Carolina,District,Superior
199,231,67,North Carolina,Superior,Supreme Court
200,231,68,North Carolina,Superior,Court of Appeals
201,70,69,North Dakota,Temporary Court of Appeals,Supreme Court
202,232,69,North Dakota,District,Supreme Court
203,233,232,North Dakota,Municipal,District
204,71,-98,,,
205,234,-98,,,
206,73,72,Ohio,Court of Appeals 1st District,Supreme Court
207,235,73,Ohio,County,Court of Appeals 1st District
208,236,73,Ohio,Court of Claims,Court of Appeals 1st District
209,237,73,Ohio,Court of Common Pleas,Court of Appeals 1st District
210,238,239,Ohio,Mayor's,Municipal
211,238,235,Ohio,Mayor's,County
212,239,73,Ohio,Municipal,Court of Appeals 1st District
