State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
Georgia,Magistrate,Limited Jurisdiction,Locally funded,No,No jury trials.,http://www.georgiamagistratecouncil.com/
Georgia,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,http://municipal.georgiacourts.gov/
Georgia,Probate,Limited Jurisdiction,Locally funded,No,Jury trials only in counties with populations greater than 96,-99
Georgia,State,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Georgia,Superior,General Jurisdiction,State and local funding,Yes,Jury trials.,https://georgiasuperiorcourts.org/
Guam,Supreme Court,Court of Last Resort,Funding source not provided,Yes,-99,-99
Guam,Superior,General Jurisdiction,Funding source not provided,Yes,-99,-99
Hawai'i,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.courts.state.hi.us/courts/supreme/hawaii_supreme_court
Hawai'i,Intermediate Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.courts.state.hi.us/courts/appeals/intermediate_court_of_appeals
Hawai'i,Circuit,General Jurisdiction,State funded,Yes,Jury trials. The Family Courts are a division of the Circuit Courts and have exclusive jurisdiction over domestic relations and juvenile cases.,-99
Hawai'i,District,Limited Jurisdiction,State funded,No,No jury trials.,http://www.courts.state.hi.us/wp-content/themes/hic_state_template_child-Judiciary/redirect_notice.php?redirect=http%3A%2F%2Fwww.courts.state.hi.us%2Fcourts%2Fdistrict%2Fdistrict_courts
Idaho,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://www.isc.idaho.gov/problem-solving/burdick
Idaho,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,-99
Idaho,District,General Jurisdiction,State and local funding,Yes,Jury trials.,https://www.isc.idaho.gov/district-courts
Idaho,Magistrates Division,Limited Jurisdiction,State and local funding,No,Jury trials. The Magistrates Division of the District Court functions as a limited jurisdiction court.,-99
Illinois,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.illinoiscourts.gov/SupremeCourt/default.asp
Illinois,Appellate Court,Intermediate Appellate Court,State funded,Yes,-99,http://www.illinoiscourts.gov/AppellateCourt/default.asp
Illinois,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials permissible in most cases.,http://www.illinoiscourts.gov/CircuitCourt/default.asp
Indiana,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.in.gov/judiciary/supreme/
Indiana,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,https://www.in.gov/judiciary/appeals/
Indiana,Tax Court,Intermediate Appellate Court,State funded,Yes,-99,https://www.in.gov/judiciary/tax/
Indiana,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials except small claims.,https://www.in.gov/judiciary/2794.htm
Indiana,City,Limited Jurisdiction,Locally funded,No,Jury trials.,https://www.in.gov/judiciary/2794.htm
Indiana,Probate,General Jurisdiction,State and local funding,No,Jury trials.,https://www.in.gov/judiciary/iocs/2381.htm
Indiana,Small Claims of Marion County,Limited Jurisdiction,Locally funded,No,No jury trials.,-99
