State,CourtName,CourtLevelDescription,FundingDescription,AppealFromAdminAgency,Notes,Link
South Carolina,Magistrate,Limited Jurisdiction,State and local funding,No,Jury trials.,https://www.sccourts.org/magistratecourt/
South Carolina,Municipal,Limited Jurisdiction,State and local funding,No,Jury trials.,https://www.sccourts.org/municipalcourt/
South Carolina,Probate,Limited Jurisdiction,State and local funding,No,No jury trials.,-99
South Dakota,Supreme Court,Court of Last Resort,State funded,No,-99,http://ujs.sd.gov/Supreme_Court/default.aspx
South Dakota,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,http://ujs.sd.gov/Circuit_Court/default.aspx
South Dakota,Magistrate,Limited Jurisdiction,State and local funding,No,Jury trials except in small claims.,-99
Tennessee,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.tsc.state.tn.us/courts/supreme-court
Tennessee,Court of Appeals,Intermediate Appellate Court,State funded,Yes,-99,http://www.tsc.state.tn.us/courts/court-appeals
Tennessee,Court of Criminal Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.tsc.state.tn.us/courts/court-criminal-appeals
Tennessee,Chancery,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.tsc.state.tn.us/courts/court-criminal-appeals
Tennessee,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts
Tennessee,Criminal,General Jurisdiction,State and local funding,No,Jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts
Tennessee,General Sessions,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.tsc.state.tn.us/courts/municipal-courts
Tennessee,Juvenile,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.tncourts.gov/courts/juvenile-family-courts
Tennessee,Municipal,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.tsc.state.tn.us/courts/municipal-courts
Tennessee,Probate,General Jurisdiction,Locally funded,No,No jury trials.,http://www.tsc.state.tn.us/courts/circuit-criminal-chancery-courts/about
Texas,Court of Criminal Appeals,Court of Last Resort,State funded,No,-99,http://www.txcourts.gov/cca
Texas,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.txcourts.gov/supreme.aspx
Texas,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.txcourts.gov/about-texas-courts/courts-of-appeals.aspx
Texas,Constitutional County,Limited Jurisdiction,State funded,No,Jury trials.,-99
Texas,County Court at Law,Limited Jurisdiction,State funded,No,Jury trials.,-99
Texas,District,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx
Texas,Justice,Limited Jurisdiction,Locally funded,No,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx
Texas,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials.,http://www.txcourts.gov/courts/overview/about-texas-courts/trial-courts.aspx
Texas,Statutory Probate,Limited Jurisdiction,State and local funding,No,Jury trials.,-99
Utah,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.utcourts.gov/courts/sup/index.htm
Utah,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,https://www.utcourts.gov/courts/sup/index.htm
Utah,District,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,https://www.utcourts.gov/courts/dist/index.htm
Utah,Justice,Limited Jurisdiction,Locally funded,No,Jury trials in some case types.,https://www.utcourts.gov/courts/just/index.htm
Utah,Juvenile,Limited Jurisdiction,State and local funding,No,No jury trials.,https://www.utcourts.gov/courts/juv/index.htm
Vermont,Supreme Court,Court of Last Resort,State funded,No,-99,https://www.vermontjudiciary.org/supreme-court
Vermont,Superior,General Jurisdiction,State funded,Yes,Jury trials.,https://www.vermontjudiciary.org/court-divisions
Virginia,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.courts.state.va.us/courts/scv/home.html
Virginia,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.courts.state.va.us/courts/cav/home.html
Virginia,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.courts.state.va.us/courts/circuit/home.html
Virginia,District,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.courts.state.va.us/courts/gd/home.html
Washington,Supreme Court,Court of Last Resort,State funded,No,-99,http://www.courts.wa.gov/appellate_trial_courts/
Washington,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,http://www.courts.wa.gov/appellate_trial_courts/
Washington,District,Limited Jurisdiction,Locally funded,No,Jury trials except in traffic infractions and parking violations.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Dist
Washington,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials except in traffic infractions and parking violations.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Muni
Washington,Superior,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.courts.wa.gov/appellate_trial_courts/?fa=atc.crtPage&crtType=Super
West Virginia,Supreme Court of Appeals,Court of Last Resort,State funded,No,-99,http://www.courtswv.gov/supreme-court/index.html
West Virginia,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials.,http://www.courtswv.gov/lower-courts/circuit-courts.html
West Virginia,Family,Limited Jurisdiction,State and local funding,No,No jury trials.,http://www.courtswv.gov/lower-courts/family-courts.html
West Virginia,Magistrate,Limited Jurisdiction,State funded,No,Jury trials.,http://www.courtswv.gov/lower-courts/magistrate-courts.html
West Virginia,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
Wisconsin,Supreme Court,Court of Last Resort,State funded,No,-99,https://wicourts.gov/courts/supreme/index.htm
Wisconsin,Court of Appeals,Intermediate Appellate Court,State funded,No,-99,https://wicourts.gov/courts/appeals/index.htm
Wisconsin,Circuit,General Jurisdiction,State and local funding,Yes,Jury trials in most cases.,https://wicourts.gov/courts/circuit/index.htm
Wisconsin,Municipal,Limited Jurisdiction,Locally funded,No,No jury trials.,https://wicourts.gov/courts/municipal/index.htm
Wyoming,Supreme Court,Court of Last Resort,State funded,Yes,-99,https://www.courts.state.wy.us/supreme-court/
Wyoming,Circuit,Limited Jurisdiction,State and local funding,No,Jury trials except in small claims.,https://www.courts.state.wy.us/circuit-courts/
Wyoming,District,General Jurisdiction,State and local funding,Yes,Jury trials.,https://www.courts.state.wy.us/district-courts/
Wyoming,Municipal,Limited Jurisdiction,Locally funded,No,Jury trials.,-99
