State,ChildCourtName,ParentCourtName
New York,Supreme Ct. Appellate Div. 1st,Court of Appeals
New York,Supreme Ct. Appellate Term 1st,Court of Appeals
New York,City,County
New York,City,Supreme Ct. Appellate Term 1st
New York,Civil Ct. of the City of NY,Supreme Ct. Appellate Term 1st
New York,County,Supreme Ct. Appellate Div. 1st
New York,Court of Claims,Supreme Ct. Appellate Div. 1st
New York,Criminal Ct of the City of NY,Supreme Ct. Appellate Term 1st
New York,District,Supreme Ct. Appellate Div. 1st
New York,District,Supreme Ct. Appellate Term 1st
New York,Family,Supreme Ct. Appellate Div. 1st
New York,Supreme,Supreme Ct. Appellate Div. 1st
New York,Surrogates,Supreme Ct. Appellate Div. 1st
New York,Town & Village Justice,Supreme Ct. Appellate Term 1st
North Carolina,Court of Appeals,Supreme Court
North Carolina,District,Superior
North Carolina,Superior,Supreme Court
North Carolina,Superior,Court of Appeals
North Dakota,Temporary Court of Appeals,Supreme Court
North Dakota,District,Supreme Court
North Dakota,Municipal,District
,,
,,
Ohio,Court of Appeals 1st District,Supreme Court
Ohio,County,Court of Appeals 1st District
Ohio,Court of Claims,Court of Appeals 1st District
Ohio,Court of Common Pleas,Court of Appeals 1st District
Ohio,Mayor's,Municipal
Ohio,Mayor's,County
Ohio,Municipal,Court of Appeals 1st District
Oklahoma,Court of Civil Appeals,Supreme Court
Oklahoma,District,Supreme Court
Oklahoma,District,Court of Criminal Appeals
Oklahoma,Municipal Court Not of Record,District
Oklahoma,Municipal Criminal Court of Record,Court of Criminal Appeals
Oklahoma,Tax Review,Supreme Court
Oregon,Court of Appeals,Supreme Court
Oregon,Circuit,Supreme Court
Oregon,Circuit,Court of Appeals
Oregon,County,Circuit
Oregon,Justice,Circuit
Oregon,Municipal,Circuit
Oregon,Tax,Supreme Court
Pennsylvania,Commonwealth Court,Supreme Court
Pennsylvania,Superior Court,Supreme Court
Pennsylvania,Court of Common Pleas,Supreme Court
Pennsylvania,Court of Common Pleas,Commonwealth Court
Pennsylvania,Court of Common Pleas,Superior Court
Pennsylvania,Magisterial District Judge,Court of Common Pleas
Pennsylvania,Philadelphia Municipal,Court of Common Pleas
Puerto Rico,Court of Appeals,Supreme Court
Puerto Rico,Court of First Instance,Court of Appeals
Rhode Island,District,Superior
Rhode Island,District,Supreme Court
Rhode Island,Family,Supreme Court
Rhode Island,Municipal,Traffic Tribunal
Rhode Island,Municipal,District
Rhode Island,Municipal,Superior
Rhode Island,Probate,Superior
Rhode Island,Superior,Supreme Court
Rhode Island,Traffic Tribunal,District
Rhode Island,Worker's Compensation,Supreme Court
Rhode Island,Worker's Compensation,Superior
South Carolina,Court of Appeals,Supreme Court
South Carolina,Circuit,Court of Appeals
South Carolina,Family,Supreme Court
South Carolina,Family,Court of Appeals
South Carolina,Magistrate,Circuit
South Carolina,Municipal,Circuit
South Carolina,Probate,Circuit
South Dakota,Circuit,Supreme Court
South Dakota,Magistrate,Circuit
Tennessee,Court of Appeals,Supreme Court
Tennessee,Court of Criminal Appeals,Supreme Court
Tennessee,Chancery,Court of Appeals
Tennessee,Circuit,Court of Appeals
Tennessee,Circuit,Court of Criminal Appeals
Tennessee,Criminal,Court of Criminal Appeals
Tennessee,General Sessions,Circuit
Tennessee,General Sessions,Criminal
Tennessee,Juvenile,Circuit
Tennessee,Municipal,Criminal
Tennessee,Probate,Court of Appeals
Texas,Court of Appeals 1st District,Court of Criminal Appeals
Texas,Court of Appeals 1st District,Supreme Court
Texas,Constitutional County,Court of Appeals 1st District
Texas,County Court at Law,Court of Appeals 1st District
Texas,District,Court of Appeals 1st District
Texas,Justice,District
Texas,Justice,County Court at Law
Texas,Justice,Constitutional County
Texas,Municipal,District
Texas,Statutory Probate,Court of Appeals 1st District
Texas,Municipal,County Court at Law
Texas,Municipal,Constitutional County
Texas,Statutory Probate,Court of Appeals 1st District
Utah,Court of Appeals,Supreme Court
Utah,District,Supreme Court
Utah,District,Court of Appeals
Utah,Justice,District
Utah,Juvenile,Court of Appeals
Vermont,Superior,Supreme Court
,,
,,
Virginia,Court of Appeals,Supreme Court
Virginia,Circuit,Supreme Court
Virginia,Circuit,Court of Appeals
Virginia,District,Circuit
Washington,Courts of Appeals Division I,Supreme Court
Washington,District,Superior
Washington,Municipal,Superior
Washington,Superior,Supreme Court
Washington,Superior,Courts of Appeals Division I
West Virginia,Circuit,Supreme Court of Appeals
West Virginia,Family,Circuit
West Virginia,Magistrate,Circuit
West Virginia,Magistrate,Family
West Virginia,Municipal,Circuit
Wisconsin,Court of Appeals,Supreme Court
Wisconsin,Circuit,Court of Appeals
Wisconsin,Municipal,Circuit
Wyoming,Circuit,District
Wyoming,District,Supreme Court
Wyoming,Municipal,District
Idaho,Court of Appeals,Supreme Court
,,Circuit
